Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
03/31/2023,1980.38,1984.37,1967.69,1969.5,-10.88,-0.55%,171472,456507
03/30/2023,1964.39,1983.01,1957.13,1980.38,15.99,+0.81%,188272,474852
03/29/2023,1974.01,1974.34,1959.73,1964.39,-9.52,-0.48%,241370,473861
03/28/2023,1956.43,1974.8,1950.49,1973.91,17.5,+0.89%,310938,478611
03/27/2023,1978.6,1978.85,1946.19,1956.41,-21.96,-1.11%,320696,483174
03/24/2023,1993.47,2000.53,1975.72,1978.37,-15.05,-0.75%,410828,489682
03/23/2023,1968.96,2001.99,1966.06,1993.42,24.53,+1.25%,343419,480174
03/22/2023,1940.43,1974.53,1936.65,1968.89,28.46,+1.47%,309993,469857
03/21/2023,1978.81,1984.37,1936.18,1940.43,-38.39,-1.94%,319609,469874
03/20/2023,1987.34,2007.32,1969.02,1978.82,-8.04,-0.40%,415048,480136
03/17/2023,1919.45,1986.86,1919.06,1986.86,67.4,+3.51%,425632,475728
03/16/2023,1918.37,1931.7,1910.15,1919.46,1.11,+0.06%,288531,457252
03/15/2023,1903.94,1935.38,1886.99,1918.35,14.42,+0.76%,479426,455720
03/14/2023,1913.7,1913.7,1898.97,1903.93,-9.77,-0.51%,300638,459064
03/13/2023,1868.03,1913.99,1868.03,1913.7,46.21,+2.47%,575068,468037
03/10/2023,1830.87,1869.25,1828.09,1867.49,36.61,+2.00%,413538,469260
03/09/2023,1813.81,1834.69,1812.56,1830.88,17.07,+0.94%,304743,454259
03/08/2023,1813.36,1822.77,1809.69,1813.81,0.44,+0.02%,276371,459423
03/07/2023,1846.95,1850.85,1813.26,1813.37,-33.6,-1.82%,298127,458474
03/06/2023,1859.26,1859.26,1845.56,1846.97,-8.38,-0.45%,155212,441454
03/03/2023,1835.93,1855.97,1835.84,1855.35,19.42,+1.06%,177169,437990
03/02/2023,1836.83,1838.41,1830.44,1835.93,-0.91,-0.05%,152759,436462
03/01/2023,1826.89,1842.78,1823.43,1836.84,9.95,+0.54%,197031,431116
02/28/2023,1817.3,1830.63,1807.12,1826.89,9.6,+0.53%,201997,426890
02/27/2023,1817.99,1819.51,1807.6,1817.29,6.21,+0.34%,144846,423217
02/24/2023,1822.42,1827.48,1809.35,1811.08,-11.34,-0.62%,177446,424923
02/23/2023,1825.3,1833.09,1819.64,1822.42,-2.89,-0.16%,187014,424276
02/22/2023,1834.92,1844.49,1824.37,1825.31,-9.62,-0.52%,149878,426016
02/21/2023,1841.26,1843.13,1830.75,1834.93,-6.33,-0.34%,220181,422648
02/20/2023,1847.04,1847.04,1837.68,1841.26,-1.07,-0.06%,5289,0
02/17/2023,1836.72,1843.29,1819.41,1842.33,5.6,+0.30%,173261,422516
